row,col,full_name,first,last,team,pos,bye,is_dst,match_score,use_match,source_last,conf_last,raw_ocr_pos,raw_color_pos,raw_ocr_bye,raw_ocr_last,raw_ocr_team,raw_ocr_first
12,2,JA'MARR CHASE,JA'MARR,CHASE,CIN,WR,10,False,100.0,True,csv,100.0,,,,,,
12,3,SAN FRANCISCO 49ERS,,SAN FRANCISCO 49ERS,SF,DST,14,True,100.0,True,csv,100.0,,,,,,
12,4,BRYCE YOUNG,BRYCE,YOUNG,CAR,QB,14,False,47.29848908610705,True,csv,47.29848908610705,,QB,14,GD,GD,
12,5,CHASE MCLAUGHLIN,CHASE,MCLAUGHLIN,TB,K,9,False,57.76530039852395,True,csv,57.76530039852395,,K,,MCLAUGHLIN,G_,BYEION
12,6,NEW ENGLAND PATRIOTS,,NEW ENGLAND PATRIOTS,NE,DST,14,True,75.00001230676679,True,csv,75.00001230676679,DST,DST,14,PATRIOTS,JAX,ENGLAND
12,7,BUFFALO BILLS,,BUFFALO BILLS,BUF,DST,7,True,70.61837090881735,True,csv,70.61837090881735,,DST,,BUFFALO,BUF,BILLS
12,8,NAJEE HARRIS,NAJEE,HARRIS,LAC,RB,12,False,62.43479355033817,True,csv,62.43479355033817,,RB,12,oceans,see,— wn
12,9,NAJEE HARRIS,NAJEE,HARRIS,LAC,RB,12,False,65.08781358817387,True,csv,65.08781358817387,,RB,,NSTE,LAC,ENE
13,0,JAKE FERGUSON,JAKE,FERGUSON,DAL,TE,10,False,72.35326222123207,True,csv,72.35326222123207,,TE,,GUSON,CIN,ACE
13,1,DALTON KINCAID,DALTON,KINCAID,BUF,TE,7,False,87.96306444427626,True,csv,87.96306444427626,TE,TE,,KINCAID,TE:,DALTON
13,2,TEE HIGGINS,TEE,HIGGINS,CIN,WR,10,False,58.333333333333336,True,csv,58.333333333333336,,WR,,HIGGINS,AWE,JAYDEN
13,3,RASHEEN ALI,RASHEEN,ALI,BAL,RB,7,False,57.472527473073015,True,csv,57.472527473073015,,RB,,PAUL,BAL,JEROME
13,4,CHRIS BOSWELL,CHRIS,BOSWELL,PIT,K,5,False,100.0,True,csv,100.0,,,,,,
13,5,HOUSTON TEXANS,,HOUSTON TEXANS,HOU,DST,6,True,100.0,True,csv,100.0,,,,,,
13,6,JA'MARR CHASE,JA'MARR,CHASE,CIN,WR,10,False,100.0,True,csv,100.0,,,,,,
13,7,RASHID SHAHEED,RASHID,SHAHEED,NO,WR,11,False,100.0,True,csv,100.0,,,,,,
13,8,JOSH DOWNS,JOSH,DOWNS,IND,WR,11,False,65.01106269533815,True,csv,65.01106269533815,,WR,,DOWNS,NR,BYETI
13,9,KANSAS CITY CHIEFS,,KANSAS CITY CHIEFS,KC,DST,10,True,100.0,True,csv,100.0,,,,,,
14,0,JA'MARR CHASE,JA'MARR,CHASE,CIN,WR,10,False,100.0,True,csv,100.0,,,,,,
14,1,MICHAEL PENIX JR.,MICHAEL,PENIX JR.,ATL,QB,5,False,50.12338123819872,True,csv,50.12338123819872,,QB,,"""owe",LGD Be,eclan) ee
14,2,CAM LITTLE,CAM,LITTLE,JAC,K,8,False,55.00001568167872,True,csv,55.00001568167872,,K,,ee LITTLE ae,,evden oe
14,3,DANIEL CARLSON,DANIEL,CARLSON,LV,K,8,False,100.0,True,csv,100.0,,,,,,
14,4,RASHID SHAHEED,RASHID,SHAHEED,NO,WR,11,False,80.3401607412285,True,csv,80.3401607412285,,WR,1,SHAHEED,BAL,RASHID
14,5,HUNTER HENRY,HUNTER,HENRY,NE,TE,14,False,48.29663609593214,True,csv,48.29663609593214,,TE,,~. @e°,,
14,6,MATTHEW STAFFORD,MATTHEW,STAFFORD,LAR,QB,8,False,50.30825642432001,True,csv,50.30825642432001,,QB,,TD,TD,EE
14,7,COLSTON LOVELAND,COLSTON,LOVELAND,CHI,TE,5,False,64.73504511919944,True,csv,64.73504511919944,,,,LOVELAND,PIT,COLSTON
14,8,LUTHER BURDEN III,LUTHER,BURDEN III,CHI,WR,5,False,57.72081538161934,True,csv,57.72081538161934,,WR,,BRANDON,3,
14,9,CEDRIC TILLMAN,CEDRIC,TILLMAN,CLE,WR,9,False,66.57142857142857,True,csv,66.57142857142857,,WR,,WILLIAN,EAE,VETS
15,0,ISAIAH LIKELY,ISAIAH,LIKELY,BAL,TE,7,False,100.0,True,csv,100.0,,,,,,
15,1,YOUNGHOE KOO,YOUNGHOE,KOO,ATL,K,5,False,100.0,True,csv,100.0,,,,,,
15,2,PHILADELPHIA EAGLES,,PHILADELPHIA EAGLES,PHI,DST,9,True,73.23305273277062,True,csv,73.23305273277062,,DST,,EAGLES,PIT,TOST
15,3,MARQUISE BROWN,MARQUISE,BROWN,KC,WR,10,False,98.95339898386753,True,csv,98.95339898386753,,WR,10,BROWN,BYE,MARQUISE
15,4,ISAIAH LIKELY,ISAIAH,LIKELY,BAL,TE,7,False,63.26221960129692,True,csv,63.26221960129692,,TE,,TI,BAL,AD
15,5,JA'MARR CHASE,JA'MARR,CHASE,CIN,WR,10,False,100.0,True,csv,100.0,,,,,,
15,6,AMARI COOPER,AMARI,COOPER,LV,WR,8,False,70.00523761755534,True,csv,70.00523761755534,,WR,,COOPER,(2,AMARI
15,7,JA'MARR CHASE,JA'MARR,CHASE,CIN,WR,10,False,100.0,True,csv,100.0,,,,,,
15,8,JA'MARR CHASE,JA'MARR,CHASE,CIN,WR,10,False,100.0,True,csv,100.0,,,,,,
15,9,KEENAN ALLEN,KEENAN,ALLEN,LAC,WR,12,False,51.341458668651214,True,csv,51.341458668651214,,,,AE,“AE,EVAN
