row,col,full_name,first,last,team,pos,bye,match_score,raw_ocr_last,raw_ocr_team,raw_ocr_pos,raw_color_pos,raw_ocr_bye,raw_ocr_first
10,6,CAMERON DICKER,CAMERON,DICKER,LAC,K,12,55.00723649697401,ae DICKER Mam,,,K,,
10,8,BRANDON AUBREY,BRANDON,AUBREY,DAL,K,10,55.02603151405399,": AUBREY, :",,,K,,
10,9,EVAN ENGRAM,EVAN,ENGRAM,DEN,TE,12,68.24508299044254,EA,HOU,TE,TE,,SELINEE
11,1,DENVER BRONCOS,,DENVER BRONCOS,DEN,DST,12,72.64501757230641,BRONCOS,DEN,,DST,,DENVER
11,3,JORDAN LOVE,JORDAN,LOVE,GB,QB,5,47.70314193217985,IO,[IO,,QB,,NY
11,4,BALTIMORE RAVENS,,BALTIMORE RAVENS,BAL,DST,7,55.352378678696844,BALTIMORE,QE,,DST,,RAVENS
11,5,ACAR,,ACAR,|,WR,,39.00000001668689,ACAR,|,,WR,,
11,6,DALLAS GOEDERT,DALLAS,GOEDERT,PHI,TE,9,45.6108089809277,OGEE,®,,,,RACHSAD
12,4,BRYCE YOUNG,BRYCE,YOUNG,CAR,QB,14,47.29848908610705,GD,GD,,QB,14,
12,5,CHASE MCLAUGHLIN,CHASE,MCLAUGHLIN,TB,K,9,57.76530039852395,MCLAUGHLIN,G_,,K,,BYEION
12,6,NEW ENGLAND PATRIOTS,,NEW ENGLAND PATRIOTS,NE,DST,14,75.00001230676679,PATRIOTS,JAX,DST,DST,14,ENGLAND
12,7,BUFFALO BILLS,,BUFFALO BILLS,BUF,DST,7,70.61837090881735,BUFFALO,BUF,,DST,,BILLS
12,8,NAJEE HARRIS,NAJEE,HARRIS,LAC,RB,12,62.43479355033817,oceans,see,,RB,12,— wn
12,9,NAJEE HARRIS,NAJEE,HARRIS,LAC,RB,12,65.08781358817387,NSTE,LAC,,RB,,ENE
13,0,JAKE FERGUSON,JAKE,FERGUSON,DAL,TE,10,72.35326222123207,GUSON,CIN,,TE,,ACE
13,2,TEE HIGGINS,TEE,HIGGINS,CIN,WR,10,58.333333333333336,HIGGINS,AWE,,WR,,JAYDEN
13,3,RASHEEN ALI,RASHEEN,ALI,BAL,RB,7,57.472527473073015,PAUL,BAL,,RB,,JEROME
13,8,JOSH DOWNS,JOSH,DOWNS,IND,WR,11,65.01106269533815,DOWNS,NR,,WR,,BYETI
14,1,MICHAEL PENIX JR.,MICHAEL,PENIX JR.,ATL,QB,5,50.12338123819872,"""owe",LGD Be,,QB,,eclan) ee
14,2,CAM LITTLE,CAM,LITTLE,JAC,K,8,55.00001568167872,ee LITTLE ae,,,K,,evden oe
14,5,HUNTER HENRY,HUNTER,HENRY,NE,TE,14,48.29663609593214,~. @e°,,,TE,,
14,6,MATTHEW STAFFORD,MATTHEW,STAFFORD,LAR,QB,8,50.30825642432001,TD,TD,,QB,,EE
14,7,COLSTON LOVELAND,COLSTON,LOVELAND,CHI,TE,5,64.73504511919944,LOVELAND,PIT,,,,COLSTON
14,8,LUTHER BURDEN III,LUTHER,BURDEN III,CHI,WR,5,57.72081538161934,BRANDON,3,,WR,,
14,9,CEDRIC TILLMAN,CEDRIC,TILLMAN,CLE,WR,9,66.57142857142857,WILLIAN,EAE,,WR,,VETS
15,2,PHILADELPHIA EAGLES,,PHILADELPHIA EAGLES,PHI,DST,9,73.23305273277062,EAGLES,PIT,,DST,,TOST
15,4,ISAIAH LIKELY,ISAIAH,LIKELY,BAL,TE,7,63.26221960129692,TI,BAL,,TE,,AD
15,6,AMARI COOPER,AMARI,COOPER,LV,WR,8,70.00523761755534,COOPER,(2,,WR,,AMARI
15,9,KEENAN ALLEN,KEENAN,ALLEN,LAC,WR,12,51.341458668651214,AE,“AE,,,,EVAN
