row,col,full_name,first,last,team,pos,bye,is_dst,match_score,use_match,source_last,conf_last,raw_ocr_pos,raw_color_pos,raw_ocr_bye,raw_ocr_last,raw_ocr_team,raw_ocr_first
2,3,LADD MCCONKEY,LADD,MCCONKEY,LAC,WR,12,False,145.0,True,csv,145.0,,WR,,~ MCCONKEY.,— LAC,Ladd
2,4,ASHTON JEANTY,ASHTON,JEANTY,LV,RB,8,False,81.15384615384616,True,csv,81.15384615384616,EE,RB,,RB eank,RUF,ames
2,5,JUSTICE HILL,JUSTICE,HILL,BAL,RB,7,False,69.44444444444444,True,csv,69.44444444444444,,RB,,", OYcil",NO,vin
2,6,OMARION HAMPTON,OMARION,HAMPTON,LAC,RB,12,False,130.71428571428572,True,csv,130.71428571428572,,RB,,° MAMPTON,LAC,ion
2,7,KENNETH WALKER III,KENNETH,WALKER III,SEA,RB,8,False,93.8235294117647,True,csv,93.8235294117647,,RB,,WW AIKERIN,SEA,ath
2,8,TREY MCBRIDE,TREY,MCBRIDE,ARI,TE,8,False,120.0,True,csv,120.0,,,,- MCBRIDE |,Ani,rcy
2,9,DRAKE MAYE,DRAKE,MAYE,NE,QB,14,False,69.44444444444444,True,csv,69.44444444444444,,QB,,ad uy,BUF,
3,0,DAVANTE ADAMS,DAVANTE,ADAMS,LAR,WR,8,False,57.5,True,csv,57.5,,,,bleed i- Ads,Pt,‘ 9 .
3,1,GARRETT WILSON,GARRETT,WILSON,NYJ,WR,9,False,85.0,True,csv,85.0,,WR,,wr WwHcON,S| NYJ,sarrett
3,2,TREVEYON HENDERSON,TREVEYON,HENDERSON,NE,RB,14,False,145.0,True,csv,145.0,,RB,,HENDERSON,|,eyon
3,3,TEE HIGGINS,TEE,HIGGINS,CIN,WR,10,False,145.0,True,csv,145.0,,WR,,_ HIGGINS,. CIN,Tee
3,4,JAMES CONNER,JAMES,CONNER,ARI,RB,8,False,85.0,True,csv,85.0,,RB,,RB OYE,|,reece
3,5,JAXON SMITH-NJIGBA,JAXON,SMITH-NJIGBA,SEA,WR,8,False,145.0,True,csv,145.0,,WR,,SMITH-NJIGBA,SEA,xon
3,6,MARVIN HARRISON JR.,MARVIN,HARRISON JR.,ARI,WR,8,False,145.0,True,csv,145.0,TT,WR,4,‘HARRISON JR.,j An,rvin ;
